upload date,Ingredient Name,FoodCategory,vendor name,contact name,phone number,yes training and certifications,yes training and certifications comments,no training and certifications,no training and certifications comments,verified by,verified date
4/23/2014,*****HFCS 55******,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,100/1 OZ PORTION CUP BOM,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,1GA ULTRA SEAL STERLITE PIT,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,1-LITER PET BOTTLE,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,2-1/2 GAL JUG,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,28MM BLACK CAPS 28/489 TE-I,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,3 GA BAG SCHOLLE BEV INNOVA,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,3 X 4 BLANK LIME GREEN  LAB,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,33/400 SYRUP CAP 12OZ,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,5160HH COLUMBIAN COFFEE,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,55 GAL POLY CLOSED TOP/DAMO,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,60% ORANGE S&D 4X3 LABEL,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,60% S&D ORANGE 1.75X4,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,ACAI BLACKBERRY KRM08011,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,ACAI/BLUEBERRY/POMEG 92.,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,ACESULFAME K,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,ACESULFAME K #F6346FK,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,ACETALDEHYDE 50 %,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,ADM VITAMIN E CLEAR 23%,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,ANSE FLAVOR 59-93-00200-WEBER,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,ANTHEM 1.75 X 4,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,ANTHEM 4 X 3,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,ANTI FOAM,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,ANTIOXIDANT BLEND 86.718,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,ANTIOXIDANT BLEND F-133608,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,APPLE ESSENCE 150 FOLD,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,APPLE FLAVOR-30-82-0145,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,APPLE JUICE 70 BRIX,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,APRICOT TYPE NATURAL 04-,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,ART CONDENSED MILK FLAV 650,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,ART PEACH FLAV ABELEI 180a8,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,ASCORBIC ACID,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,ASPARTAME/GRANULAR,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,BAG 1 GA ITW FITMENT,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,BAG 1.5 GA RBS1.5G-1,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,BAG 3 GA 20018 SCHLLE SCREW,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
4/23/2014,BAG 3 GA PER'F RBP3G-10,,Hartleys,Hartleys,,0,,1,,RGK,4/28/2014
