upload date,vendor name,contact name,phone number,yes training and certifications,Al,no training and certifications,no training and certifications comments,verified by,verified date
4/28/2014,Alberts Organics,Peter Grandholm,1-877-241-3030,1,USDA Organic,1,,Clayton,4/28/2014
4/28/2014,Arbor Day Foundation,Jared Carlson,402-474-5655,1,USDA Organic Fair Trade Certified,1,,Clayton,4/28/2014
4/28/2014,Au Bon Canard,Christain Gusset,507-724-1042,1,USDA Inspected ,0,,Clayton,4/28/2014
4/28/2014,Backlund Plumbing,,000-000-0000,0,,1,,Clayton,4/28/2014
4/28/2014,Big Muddy Farm,Brent Lubbert,402-213-9646,0,,1,,Clayton,4/28/2014
4/28/2014,Bird Song Farm,Margeret Shaddy,712-431-6060,0,,1,,Clayton,4/28/2014
4/28/2014,Black Sheep Farm,Brian Smith,402-677-8631,0,,1,,Clayton,4/28/2014
4/28/2014,Blooms Organic,Rebecca Bloom,402-639-7365,0,,1,,Clayton,4/28/2014
4/28/2014,Blue Valley Aquaculture,Jeff Schelkopf,402-773-5617,0,,1,,Clayton,4/28/2014
4/28/2014,Bluff Valley Farm,Ken Thilges,402-245-5460,0,,1,,Clayton,4/28/2014
4/28/2014,Branched Oak Farm,Krista Dittman,402-783-2124,0,,1,,Clayton,4/28/2014
4/28/2014,Burbachs Dairy,Dean Burbach,402-283-4625,0,,1,,Clayton,4/28/2014
4/28/2014,Butcher Packer,Danny,000-000-0000,0,,1,,Clayton,4/28/2014
4/28/2014,Cayson Design,Lynette Cayon,415-695-9596,0,,1,,Clayton,4/28/2014
4/28/2014,Coletta Matson,Coletta Matson,000-000-0000,0,,1,,Clayton,4/28/2014
4/28/2014,Cox Communications,,402-934-0686,0,,1,,Clayton,4/28/2014
4/28/2014,Dakota Harvest Farm,Bob Corio,605-966-5490,1,USDA Organic Animal Welfare Approved,0,,Clayton,4/28/2014
4/28/2014,Dan Toberer,Dan Toberer,402-917-4788,0,,1,,Clayton,4/28/2014
4/28/2014,Davey Roads Ranch,Ben Gotschall,402-705-8679,1,USDA Organic Animal Welfare Approved,0,,Clayton,4/28/2014
4/28/2014,Dens Country Meats ,Dennis,402-839-4635,0,,1,,Clayton,4/28/2014
4/28/2014,Double K Farm,Liz Konstantina,402-516-2062,0,,1,,Clayton,4/28/2014
4/28/2014,Douglas County Health Department,Joe ,402-444-7471,0,,1,,Clayton,4/28/2014
4/28/2014,Ecolab,Brad Metzel,1-800-352-5326,0,,1,,Clayton,4/28/2014
4/28/2014,Elite Insurance Companay,Jerry Pascale ,402-691-8118,0,,1,,Clayton,4/28/2014
4/28/2014,Farm Table Delivery,Ellen ,000-000-0000,0,,1,,Clayton,4/28/2014
4/28/2014,Fillmore Container,Kent Hardinger,000-000-0000,0,,1,,Clayton,4/28/2014
4/28/2014,Flatwater Landscape and Design LLC,Jeremiah Martens,402-813-4192,0,,1,,Clayton,4/28/2014
4/28/2014,Foods in Season,Amy,866-767-2464,0,,1,,Clayton,4/28/2014
4/28/2014,Grain Place Foods,David Vetter,402-854-3195,1,USDA Organic,0,,Clayton,4/28/2014
4/28/2014,H Oloffson International Specialty Foods,Jim Oloffson,402-630-7377,0,,1,,Clayton,4/28/2014
4/28/2014,Heartland Elk Guest Ranch,Jon Crane,402-376-2553,0,,1,,Clayton,4/28/2014
4/28/2014,Heartland Nuts and More,Larry,000-000-0000,0,,1,,Clayton,4/28/2014
4/28/2014,Heartland Organics,Gene,402-310-6670,0,,1,,Clayton,4/28/2014
4/28/2014,Honey Creek Creamery,Sharon Oamek,402-690-9252,0,,1,,Clayton,4/28/2014
4/28/2014,Jacobsen Salt Company,Sana ,503-334-2583,0,,1,,Clayton,4/28/2014
4/28/2014,Jakes Fungi Farm,Jake,402-890-4343,0,,1,,Clayton,4/28/2014
4/28/2014,Jones Produce,,402-613-2035,0,,1,,Clayton,4/28/2014
4/28/2014,La Vigne Organics,Helen,760-723-9997,1,USDA Organic,0,,Clayton,4/28/2014
4/28/2014,Mama Ganache Artisan Chocolates,Talina Brown,805-544-7759,0,,1,,Clayton,4/28/2014
4/28/2014,Mariposa Farm,Collette Conkling,641-236-5740,0,,1,,Clayton,4/28/2014
4/28/2014,Marking Refrigeration,Jason,402-895-0255,0,,1,,Clayton,4/28/2014
4/28/2014,Old Nelly Farm,Kumari Durick,402-981-3109,0,,1,,Clayton,4/28/2014
4/28/2014,One Farm,Danelle,402-612-7816,0,,1,,Clayton,4/28/2014
4/28/2014,Pacific Bag Company,Anyone,1800-562-2247,0,,1,,Clayton,4/28/2014
4/28/2014,Perfect 10 Bison Ranch,Dave Hutchinson,402-760-1323,1,USDA Organic,0,,Clayton,4/28/2014
4/28/2014,Pin Oak Place,Ellen Walsh,712-579-1933,0,,1,,Clayton,4/28/2014
4/28/2014,Plum Creek Farm,Dean Dvorik,402-223-9396,0,,1,,Clayton,4/28/2014
4/28/2014,Sanders Specialty Meats and Produce,Dave Sanders,405-545-2229,0,,1,,Clayton,4/28/2014
4/28/2014,School House Gardens,Lisa McClusky,402-490-3362,0,,1,,Clayton,4/28/2014
4/28/2014,Seculded Farm,Joni and Eric,402-306-9437,0,,1,,Clayton,4/28/2014
4/28/2014,Shadowbrook Farm,Kevin Loth,402-421-2383,1,USDA Organic,0,,Clayton,4/28/2014
4/28/2014,Singing Dog Vanilla,Anyone,541-343-2746,0,,1,,Clayton,4/28/2014
